id,theme,description,business_value,moscow,effort_days,data_used,acceptance_criteria,sprint,comment
US-01,Photo & garde-robe,Ajouter une photo de tenue. Concrètement : prendre en photo (ou importer) une tenue et l’ajouter à ma garde-robe.,Objectif : obtenir des recommandations basées sur mes vêtements réels.,MUST,5,Photo tenue; id utilisateur; horodatage,La photo apparaît dans la garde‑robe. On conserve une version utile pour l’app (ex. compressée et/ou visage flouté si l’option est activée). L’original est supprimé rapidement.,Sprint 1,
US-02,Photo & qualité,Contrôle qualité photo (flou/lumière). Concrètement : être informé si ma photo est trop floue ou trop sombre.,Objectif : envoyer une photo exploitable par l’IA et améliorer les résultats.,MUST,5,Photo tenue; score de qualité image,Si score < seuil : message “reprendre la photo”; sinon : analyse lancée.,Sprint 1,
US-03,RGPD & sécurité,Masquer le visage avant stockage (option RGPD). Concrètement : pouvoir activer le masquage automatique du visage sur mes photos.,Objectif : limiter les données personnelles visibles et me rassurer.,MUST,8,Photo; détection visage; paramètre utilisateur (opt-in),Si option activée : le visage est flouté; l’original n’est pas conservé.,Sprint 1,
US-04,Analyse visuelle,Identifier la catégorie du vêtement. Concrètement : que l’IA reconnaisse la catégorie principale (haut/bas/chaussures/accessoire).,Objectif : retrouver mes pièces et filtrer les recommandations.,MUST,8,Photo; modèle pré-entraîné; taxonomie catégories,La catégorie est affichée et modifiable manuellement en cas d’erreur.,Sprint 2,
US-05,Analyse visuelle,Extraire la couleur dominante. Concrètement : que l’IA détecte la couleur dominante du vêtement.,Objectif : affiner les recommandations et gagner du temps.,MUST,3,Photo; extraction couleurs; mapping vers palette,La couleur dominante est proposée; l’utilisateur peut la corriger.,Sprint 2,
US-06,Signature visuelle,Générer une signature visuelle (embedding). Concrètement : calculer un vecteur d’empreinte visuelle à partir de la photo.,Objectif : comparer la photo au catalogue et trouver des articles similaires.,MUST,8,Photo; modèle pré-entraîné; stockage embeddings,Un embedding est produit et stocké; traitement < X secondes (objectif).,Sprint 2,
US-07,Recommandation,Recommander 5 articles similaires du catalogue. Concrètement : recevoir une liste de 5 articles proches de ma photo.,Objectif : découvrir des produits au même style et acheter plus facilement.,MUST,13,Embeddings photo; embeddings catalogue; moteur de similarité,Affichage Top 5; si aucun résultat : message + fallback (best sellers).,Sprint 3,
US-08,Expérience d'achat,"Afficher les recommandations (fiche produit). Concrètement : voir pour chaque recommandation la photo, le prix et un lien vers la fiche produit.",Objectif : décider rapidement et passer à l’achat via le site e-commerce.,MUST,5,Catalogue produits; images produits; URL fiche,Chaque item a image+prix+CTA; ouverture du lien produit fonctionnelle.,Sprint 3,
US-09,Expérience d'achat,"Filtres simples sur recommandations. Concrètement : filtrer les résultats par couleur, taille, prix.",Objectif : adapter les propositions à mes contraintes.,MUST,8,Attributs catalogue (couleur/tailles/prix); filtres UI,Filtres appliqués instantanément; option “réinitialiser” disponible.,Sprint 3,
US-10,Feedback & amélioration,Collecter un feedback (utile / pas utile). Concrètement : donner mon avis sur les recommandations (utile/pas utile).,Objectif : aider l’application à mieux me comprendre.,MUST,5,Feedback; id utilisateur; id produit; horodatage,Boutons simple; feedback enregistré même en cas de reconnexion.,Sprint 4,
US-11,Feedback & amélioration,Ajuster le classement via règles simples. Concrètement : utiliser le feedback pour réordonner les résultats (bonus/malus par marque/catégorie).,Objectif : améliorer la pertinence sans modèle complexe.,MUST,8,Feedback; préférences implicites; logique de scoring,Les items “utiles” sont favorisés; pas d’apprentissage automatique obligatoire.,Sprint 4,
US-12,RGPD & consentement,Consentement explicite avant analyse photo. Concrètement : donner mon consentement au traitement de ma photo pour la recommandation.,Objectif : garder le contrôle de mes données.,MUST,5,Écran consentement; traçabilité consentement,Sans consentement : pas d’analyse; consentement modifiable à tout moment.,Sprint 1,
US-13,RGPD & suppression,"Suppression des photos et données dérivées. Concrètement : supprimer une photo et les données associées (embedding, logs liés).",Objectif : exercer mes droits RGPD facilement.,MUST,8,Photo; embeddings; table de purge; audit minimal,Suppression confirmée; délai de purge clairement annoncé; pas de résidus visibles.,Sprint 4,
US-14,Préférences,Définir styles et marques préférés. Concrètement : sélectionner mes styles et marques préférés.,Objectif : obtenir des recommandations adaptées même sans photo.,SHOULD,5,Liste styles; liste marques; profil utilisateur,Au moins 3 styles proposés; marques du catalogue; modifiable à tout moment.,Sprint 4,
US-15,Préférences,Recommandation basée sur préférences. Concrètement : recevoir des recommandations à partir de mes styles/marques.,Objectif : découvrir des articles qui me correspondent.,SHOULD,8,Préférences; règles de filtrage; catalogue,Résultats cohérents; fallback sur tendances si peu de données.,Sprint 4,
US-16,Modération,Détection contenu inapproprié. Concrètement : bloquer l’analyse si la photo contient du contenu manifestement inapproprié.,Objectif : protéger les utilisateurs et le service.,SHOULD,5,Photo; score de modération,Si contenu détecté : message + refus; aucun stockage de la photo.,Sprint 4,
US-17,Pilotage & métriques,"Tableau de bord simple des métriques. Concrètement : suivre les métriques clés (taux d’erreur, latence, CTR sur reco).",Objectif : piloter l’amélioration du service.,SHOULD,8,Logs; métriques; dashboard,Vue hebdo; alertes basiques sur erreurs/latence.,Sprint 4,
